DateTime,Time,Exchange,Symbol,Trade Volume,Trade Price
2017-01-03 09:30:18.604012,93018604012000,T,PFE,300.0,32.72
2017-01-03 09:30:18.615878,93018615878000,T,PFE,400.0,32.72
2017-01-03 09:30:18.615901,93018615901000,T,PFE,100.0,32.72
2017-01-03 09:30:18.615926,93018615926000,T,PFE,200.0,32.72
2017-01-03 09:30:18.766299,93018766299000,T,PFE,100.0,32.71
2017-01-03 09:30:18.822149,93018822149000,T,PFE,100.0,32.7
2017-01-03 09:30:19.128491,93019128491000,T,PFE,100.0,32.68
2017-01-03 09:30:19.130678,93019130678000,T,PFE,300.0,32.68
2017-01-03 09:30:19.130700,93019130700000,T,PFE,100.0,32.68
2017-01-03 09:30:19.480243,93019480243000,T,PFE,100.0,32.69
2017-01-03 09:30:19.953195,93019953195000,T,PFE,100.0,32.68
2017-01-03 09:30:20.013135,93020013135000,T,PFE,1496.0,32.68
2017-01-03 09:30:20.013160,93020013160000,T,PFE,104.0,32.68
2017-01-03 09:30:20.374298,93020374298000,T,PFE,200.0,32.67
2017-01-03 09:30:20.374371,93020374371000,T,PFE,100.0,32.67
2017-01-03 09:30:21.005859,93021005859000,T,PFE,100.0,32.67
2017-01-03 09:30:21.652192,93021652192000,T,PFE,1500.0,32.68
2017-01-03 09:30:21.652426,93021652426000,T,PFE,100.0,32.68
2017-01-03 09:30:21.652449,93021652449000,T,PFE,100.0,32.68
2017-01-03 09:30:21.652474,93021652474000,T,PFE,100.0,32.68
2017-01-03 09:30:21.652498,93021652498000,T,PFE,100.0,32.68
2017-01-03 09:30:21.745783,93021745783000,T,PFE,1500.0,32.68
2017-01-03 09:30:21.806083,93021806083000,T,PFE,700.0,32.66
2017-01-03 09:30:21.807105,93021807105000,T,PFE,700.0,32.66
2017-01-03 09:30:22.090777,93022090777000,T,PFE,700.0,32.66
2017-01-03 09:30:23.424817,93023424817000,T,PFE,100.0,32.66
2017-01-03 09:30:24.653937,93024653937000,T,PFE,600.0,32.67
2017-01-03 09:30:24.653978,93024653978000,T,PFE,300.0,32.67
2017-01-03 09:30:24.654001,93024654001000,T,PFE,100.0,32.67
2017-01-03 09:30:24.654026,93024654026000,T,PFE,200.0,32.67
2017-01-03 09:30:24.654257,93024654257000,T,PFE,100.0,32.67
2017-01-03 09:30:24.654307,93024654307000,T,PFE,100.0,32.67
2017-01-03 09:30:24.654332,93024654332000,T,PFE,661.0,32.67
2017-01-03 09:30:24.654357,93024654357000,T,PFE,39.0,32.67
2017-01-03 09:30:24.654405,93024654405000,T,PFE,61.0,32.67
2017-01-03 09:30:24.661677,93024661677000,T,PFE,200.0,32.68
2017-01-03 09:30:24.661697,93024661697000,T,PFE,700.0,32.68
2017-01-03 09:30:24.806542,93024806542000,T,PFE,600.0,32.68
2017-01-03 09:30:24.828765,93024828765000,T,PFE,100.0,32.68
2017-01-03 09:30:24.828791,93024828791000,T,PFE,100.0,32.68
2017-01-03 09:30:27.726509,93027726509000,T,PFE,100.0,32.68
2017-01-03 09:30:27.726538,93027726538000,T,PFE,100.0,32.68
2017-01-03 09:30:27.726567,93027726567000,T,PFE,100.0,32.68
2017-01-03 09:30:27.726591,93027726591000,T,PFE,100.0,32.68
2017-01-03 09:30:27.737842,93027737842000,T,PFE,100.0,32.68
2017-01-03 09:30:27.737868,93027737868000,T,PFE,100.0,32.68
2017-01-03 09:30:27.738545,93027738545000,T,PFE,100.0,32.68
2017-01-03 09:30:27.738565,93027738565000,T,PFE,100.0,32.68
2017-01-03 09:30:27.738590,93027738590000,T,PFE,500.0,32.68
2017-01-03 09:30:27.955435,93027955435000,T,PFE,100.0,32.68
2017-01-03 09:30:27.989131,93027989131000,T,PFE,600.0,32.68
2017-01-03 09:30:27.989179,93027989179000,T,PFE,100.0,32.68
2017-01-03 09:30:28.814443,93028814443000,T,PFE,100.0,32.65
2017-01-03 09:30:28.817876,93028817876000,T,PFE,100.0,32.65
2017-01-03 09:30:28.818190,93028818190000,T,PFE,100.0,32.65
2017-01-03 09:30:28.819919,93028819919000,T,PFE,300.0,32.65
2017-01-03 09:30:28.819943,93028819943000,T,PFE,100.0,32.65
2017-01-03 09:30:28.820578,93028820578000,T,PFE,500.0,32.68
2017-01-03 09:30:28.820622,93028820622000,T,PFE,100.0,32.68
2017-01-03 09:30:28.821866,93028821866000,T,PFE,500.0,32.68
2017-01-03 09:30:28.821891,93028821891000,T,PFE,200.0,32.68
2017-01-03 09:30:28.827429,93028827429000,T,PFE,500.0,32.68
2017-01-03 09:30:28.827454,93028827454000,T,PFE,94.0,32.68
2017-01-03 09:30:28.828460,93028828460000,T,PFE,495.0,32.68
2017-01-03 09:30:28.829869,93028829869000,T,PFE,5.0,32.68
2017-01-03 09:30:28.829892,93028829892000,T,PFE,500.0,32.68
2017-01-03 09:30:28.829914,93028829914000,T,PFE,93.0,32.68
2017-01-03 09:30:28.831993,93028831993000,T,PFE,200.0,32.68
2017-01-03 09:30:28.832021,93028832021000,T,PFE,300.0,32.68
2017-01-03 09:30:28.832778,93028832778000,T,PFE,495.0,32.68
2017-01-03 09:30:28.832823,93028832823000,T,PFE,5.0,32.68
2017-01-03 09:30:28.833459,93028833459000,T,PFE,100.0,32.68
2017-01-03 09:30:28.833488,93028833488000,T,PFE,100.0,32.68
2017-01-03 09:30:28.835734,93028835734000,T,PFE,300.0,32.68
2017-01-03 09:30:28.835763,93028835763000,T,PFE,96.0,32.68
2017-01-03 09:30:28.838238,93028838238000,T,PFE,500.0,32.68
2017-01-03 09:30:28.838263,93028838263000,T,PFE,94.0,32.68
2017-01-03 09:30:28.849203,93028849203000,T,PFE,500.0,32.68
2017-01-03 09:30:28.849230,93028849230000,T,PFE,94.0,32.68
2017-01-03 09:30:28.855318,93028855318000,T,PFE,495.0,32.68
2017-01-03 09:30:28.858368,93028858368000,T,PFE,5.0,32.68
2017-01-03 09:30:28.858392,93028858392000,T,PFE,6.0,32.68
2017-01-03 09:30:28.858418,93028858418000,T,PFE,400.0,32.68
2017-01-03 09:30:28.870299,93028870299000,T,PFE,94.0,32.68
2017-01-03 09:30:28.870331,93028870331000,T,PFE,494.0,32.68
2017-01-03 09:30:28.896654,93028896654000,T,PFE,6.0,32.68
2017-01-03 09:30:28.896680,93028896680000,T,PFE,94.0,32.68
2017-01-03 09:30:28.896708,93028896708000,T,PFE,100.0,32.68
2017-01-03 09:30:28.896937,93028896937000,T,PFE,100.0,32.68
2017-01-03 09:30:28.896968,93028896968000,T,PFE,106.0,32.68
2017-01-03 09:30:28.998295,93028998295000,T,PFE,97.0,32.68
2017-01-03 09:30:29.260744,93029260744000,T,PFE,100.0,32.66
2017-01-03 09:30:29.461809,93029461809000,T,PFE,38.0,32.67
2017-01-03 09:30:30.436372,93030436372000,T,PFE,100.0,32.66
2017-01-03 09:30:30.436394,93030436394000,T,PFE,100.0,32.66
2017-01-03 09:30:30.862141,93030862141000,T,PFE,600.0,32.66
2017-01-03 09:30:30.862172,93030862172000,T,PFE,100.0,32.66
2017-01-03 09:30:31.442041,93031442041000,T,PFE,100.0,32.67
2017-01-03 09:30:31.442071,93031442071000,T,PFE,300.0,32.67
2017-01-03 09:30:31.442095,93031442095000,T,PFE,100.0,32.66
2017-01-03 09:30:31.442119,93031442119000,T,PFE,100.0,32.66
2017-01-03 09:30:31.442764,93031442764000,T,PFE,400.0,32.66
2017-01-03 09:30:31.442789,93031442789000,T,PFE,100.0,32.66
2017-01-03 09:30:31.442813,93031442813000,T,PFE,100.0,32.66
2017-01-03 09:30:32.055799,93032055799000,T,PFE,100.0,32.66
2017-01-03 09:30:35.255088,93035255088000,T,PFE,300.0,32.64
2017-01-03 09:30:45.355583,93045355583000,T,PFE,100.0,32.62
2017-01-03 09:30:55.892397,93055892397000,T,PFE,200.0,32.62
2017-01-03 09:30:56.363602,93056363602000,T,PFE,100.0,32.62
2017-01-03 09:30:56.368055,93056368055000,T,PFE,100.0,32.62
2017-01-03 09:31:10.962418,93110962418000,T,PFE,100.0,32.61
2017-01-03 09:31:13.542262,93113542262000,T,PFE,100.0,32.6
2017-01-03 09:31:16.748982,93116748982000,T,PFE,100.0,32.6
2017-01-03 09:31:18.854008,93118854008000,T,PFE,100.0,32.61
2017-01-03 09:31:18.854059,93118854059000,T,PFE,100.0,32.61
2017-01-03 09:31:18.854083,93118854083000,T,PFE,100.0,32.61
2017-01-03 09:31:20.100489,93120100489000,T,PFE,100.0,32.63
2017-01-03 09:31:20.101221,93120101221000,T,PFE,100.0,32.63
2017-01-03 09:31:20.101284,93120101284000,T,PFE,100.0,32.63
2017-01-03 09:31:22.213162,93122213162000,T,PFE,100.0,32.63
2017-01-03 09:31:28.143797,93128143797000,T,PFE,600.0,32.63
2017-01-03 09:31:42.109564,93142109564000,T,PFE,17.0,32.64
2017-01-03 09:31:42.109586,93142109586000,T,PFE,200.0,32.64
2017-01-03 09:31:42.109619,93142109619000,T,PFE,100.0,32.64
2017-01-03 09:31:44.867013,93144867013000,T,PFE,100.0,32.66
2017-01-03 09:31:45.926322,93145926322000,T,PFE,100.0,32.65
2017-01-03 09:31:46.322348,93146322348000,T,PFE,139.0,32.65
2017-01-03 09:31:46.323829,93146323829000,T,PFE,16.0,32.65
2017-01-03 09:31:46.403951,93146403951000,T,PFE,100.0,32.66
2017-01-03 09:31:46.403979,93146403979000,T,PFE,200.0,32.66
2017-01-03 09:31:51.829053,93151829053000,T,PFE,100.0,32.66
2017-01-03 09:31:51.829077,93151829077000,T,PFE,100.0,32.66
2017-01-03 09:32:00.102917,93200102917000,T,PFE,100.0,32.665
2017-01-03 09:32:01.726888,93201726888000,T,PFE,100.0,32.66
2017-01-03 09:32:01.943123,93201943123000,T,PFE,100.0,32.66
2017-01-03 09:32:03.299379,93203299379000,T,PFE,100.0,32.67
2017-01-03 09:32:03.299403,93203299403000,T,PFE,100.0,32.67
2017-01-03 09:32:03.299614,93203299614000,T,PFE,100.0,32.67
2017-01-03 09:32:04.848520,93204848520000,T,PFE,100.0,32.67
2017-01-03 09:32:04.848541,93204848541000,T,PFE,154.0,32.67
2017-01-03 09:32:04.848566,93204848566000,T,PFE,46.0,32.67
