DateTime,Time,Exchange,Symbol,Bid_Price,Bid_Size,Offer_Price,Offer_Size
2017-01-03 09:30:00,93000766290000.0,T,PFE,32.55,8.0,32.76,8.0
2017-01-03 09:30:01,93001992610000.0,T,PFE,32.67,8.0,32.7,31.0
2017-01-03 09:30:02,93002933311000.0,T,PFE,32.67,7.0,32.7,2.0
2017-01-03 09:30:03,93003882764000.0,T,PFE,32.7,1.0,32.76,17.0
2017-01-03 09:30:04,93004943608000.0,T,PFE,32.7,1.0,32.73,13.0
2017-01-03 09:30:05,93005991747000.0,T,PFE,32.69,2.0,32.74,41.0
2017-01-03 09:30:06,93006506218000.0,T,PFE,32.67,5.0,32.74,41.0
2017-01-03 09:30:07,93007572809000.0,T,PFE,32.67,5.0,32.74,34.0
2017-01-03 09:30:08,93008297766000.0,T,PFE,32.67,5.0,32.74,32.0
2017-01-03 09:30:09,93009974124000.0,T,PFE,32.67,5.0,32.74,34.0
2017-01-03 09:30:10,93010934962000.0,T,PFE,32.67,3.0,32.71,1.0
2017-01-03 09:30:11,93011865090000.0,T,PFE,32.7,1.0,32.73,1.0
2017-01-03 09:30:12,93012914113000.0,T,PFE,32.71,1.0,32.73,1.0
2017-01-03 09:30:13,93013790795000.0,T,PFE,32.7,1.0,32.73,1.0
2017-01-03 09:30:14,93014928044000.0,T,PFE,32.69,1.0,32.72,20.0
2017-01-03 09:30:15,93015814888000.0,T,PFE,32.72,1.0,32.73,1.0
2017-01-03 09:30:16,93016737146000.0,T,PFE,32.72,1.0,32.73,1.0
2017-01-03 09:30:17,93017388740000.0,T,PFE,32.69,1.0,32.72,3.0
2017-01-03 09:30:18,93018922372000.0,T,PFE,32.68,1.0,32.72,4.0
2017-01-03 09:30:19,93019991646000.0,T,PFE,32.67,3.0,32.68,16.0
2017-01-03 09:30:20,93020424945000.0,T,PFE,32.66,7.0,32.67,1.0
2017-01-03 09:30:21,93021955705000.0,T,PFE,32.66,7.0,32.67,1.0
2017-01-03 09:30:22,93022193605000.0,T,PFE,32.57,9.0,32.66,1.0
2017-01-03 09:30:23,93023427531000.0,T,PFE,32.62,7.0,32.67,10.0
2017-01-03 09:30:24,93024928844000.0,T,PFE,32.66,7.0,32.68,8.0
2017-01-03 09:30:25,93025816377000.0,T,PFE,32.66,7.0,32.68,2.0
2017-01-03 09:30:26,93026922784000.0,T,PFE,32.66,7.0,32.68,4.0
2017-01-03 09:30:27,93027994810000.0,T,PFE,32.67,1.0,32.68,11.0
2017-01-03 09:30:28,93028998317000.0,T,PFE,32.65,2.0,32.68,5.0
