DateTime,Time,Exchange,Symbol,Bid_Price,Bid_Size,Offer_Price,Offer_Size
2017-01-03 09:30:00,93059427636000,T,PFE,32.61,1.0,32.64,4.0
2017-01-03 09:31:00,93158355148000,T,PFE,32.65,8.0,32.67,2.0
2017-01-03 09:32:00,93257306484000,T,PFE,32.65,5.0,32.66,6.0
2017-01-03 09:33:00,93359792833000,T,PFE,32.67,7.0,32.68,10.0
2017-01-03 09:34:00,93459277730000,T,PFE,32.65,10.0,32.66,5.0
2017-01-03 09:35:00,93559174968000,T,PFE,32.66,10.0,32.67,17.0
2017-01-03 09:36:00,93659457880000,T,PFE,32.71,6.0,32.72,3.0
2017-01-03 09:37:00,93758280165000,T,PFE,32.71,6.0,32.72,20.0
2017-01-03 09:38:00,93857001156000,T,PFE,32.69,3.0,32.7,10.0
2017-01-03 09:39:00,93957772052000,T,PFE,32.68,11.0,32.69,5.0
2017-01-03 09:40:00,94059324708000,T,PFE,32.67,13.0,32.68,7.0
2017-01-03 09:41:00,94159781886000,T,PFE,32.7,1.0,32.71,18.0
2017-01-03 09:42:00,94259218925000,T,PFE,32.72,15.0,32.73,8.0
2017-01-03 09:43:00,94359809419000,T,PFE,32.71,4.0,32.72,10.0
2017-01-03 09:44:00,94459280448000,T,PFE,32.69,7.0,32.7,10.0
2017-01-03 09:45:00,94559959182000,T,PFE,32.73,19.0,32.74,8.0
2017-01-03 09:46:00,94659778852000,T,PFE,32.77,14.0,32.78,18.0
2017-01-03 09:47:00,94758914876000,T,PFE,32.79,12.0,32.8,11.0
2017-01-03 09:48:00,94859161273000,T,PFE,32.79,15.0,32.8,10.0
2017-01-03 09:49:00,94959493525000,T,PFE,32.77,7.0,32.78,5.0
2017-01-03 09:50:00,95059645637000,T,PFE,32.78,20.0,32.79,10.0
2017-01-03 09:51:00,95159612758000,T,PFE,32.78,11.0,32.79,12.0
2017-01-03 09:52:00,95259221739000,T,PFE,32.81,8.0,32.82,9.0
2017-01-03 09:53:00,95358671774000,T,PFE,32.81,8.0,32.82,16.0
2017-01-03 09:54:00,95441895024000,T,PFE,32.81,12.0,32.82,13.0
2017-01-03 09:55:00,95558615088000,T,PFE,32.82,7.0,32.83,13.0
2017-01-03 09:56:00,95656186572000,T,PFE,32.81,8.0,32.82,9.0
2017-01-03 09:57:00,95758601739000,T,PFE,32.83,8.0,32.84,13.0
2017-01-03 09:58:00,95859603831000,T,PFE,32.84,18.0,32.85,11.0
2017-01-03 09:59:00,95959055651000,T,PFE,32.84,11.0,32.85,7.0
2017-01-03 10:00:00,100059573484000,T,PFE,32.85,1.0,32.86,12.0
2017-01-03 10:01:00,100159046432000,T,PFE,32.83,8.0,32.84,9.0
2017-01-03 10:02:00,100257746536000,T,PFE,32.83,14.0,32.84,11.0
2017-01-03 10:03:00,100359206968000,T,PFE,32.81,4.0,32.82,23.0
2017-01-03 10:04:00,100459977940000,T,PFE,32.83,2.0,32.84,15.0
2017-01-03 10:05:00,100559698701000,T,PFE,32.83,12.0,32.84,13.0
2017-01-03 10:06:00,100658905837000,T,PFE,32.86,8.0,32.87,18.0
